name,rating,user_ratings_total,types,address,latitude,longitude,cluster
카운트다운,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 내동 산 3-6,36.3364465,127.3715707,6
시도,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 괴정동 71-18,36.3377896,127.3814684,6
명불허전,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 갈마동 956,36.3481416,127.3739066,6
상가천지,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 탄방동 674,36.3430211,127.3860398,6
보라매공원,4.2,711.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 탄방동 589,36.34818999999999,127.3846028,6
평화의소녀상,4.6,75.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 서구 둔산동 1544-2,36.351462,127.3848368,6
뜨는회마루스시,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 둔산동 1476,36.3528585,127.3886659,6
시애틀공원,4.1,166.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 둔산동 1385,36.35545,127.3942805,6
도산서원,4.1,81.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 탄방동 220-1,36.3437141,127.3960264,6
폐허,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 탄방동 1289,36.3481954,127.3996717,6
꽃과 나비 벽화,5.0,1.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 용문동 261-14,36.3357418,127.3936666,3
철도 풍경 스팟,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 중구 용두동 712-1,36.337633,127.4041933,3
어린이공원,3.9,40.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 중구 태평동 368,36.3285645,127.3948458,3
구 대전형무소 터,3.6,22.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 중구 중촌동 16-11,36.3373306,127.410184,3
대전솔로몬로파크,4.4,416.0,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 원촌동 224,36.3778352,127.3999531,2
은진송씨 정려각,3.5,10.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 대덕구 법동 205-5,36.3653832,127.4317367,4
송애당,3.8,52.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 대덕구 중리동 115,36.3645777,127.4330144,4
회덕쌍청당,3.6,14.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 대덕구 중리동 71-1,36.363689,127.4343476,4
계족산공원,4.4,116.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 대덕구 법동 산 2-1,36.3772222,127.4408333,4
장동산림욕장,4.6,493.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 대덕구 장동 산 61-2,36.4046565,127.446762,4
